name                                                         old time/op    new time/op    delta
ImmcheckBytes/[16384]byte;muts(0%)-16                          1.88ms ± 1%    1.87ms ± 0%     ~     (p=0.222 n=5+5)
ImmcheckBytes/[16384]byte;muts(1%)-16                          1.92ms ± 2%    1.90ms ± 1%     ~     (p=0.151 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoOrig-16                   1.89ms ± 1%    1.87ms ± 0%   -0.89%  (p=0.008 n=5+5)
ImmcheckBytes/[16384]byte;muts(1%);NoOrig-16                   1.90ms ± 0%    1.89ms ± 1%   -0.66%  (p=0.016 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap-16                   4.91µs ± 9%    3.97µs ± 3%  -19.17%  (p=0.008 n=5+5)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap-16                   5.07µs ± 0%    4.26µs ± 1%  -15.96%  (p=0.008 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap;NoOrig-16            3.26µs ± 5%    2.34µs ± 0%  -28.13%  (p=0.016 n=5+4)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap;NoOrig-16            3.62µs ± 1%    2.74µs ± 1%  -24.33%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%)-16                  6.12ms ± 1%    5.37ms ± 0%  -12.29%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(1%)-16                  6.41ms ± 3%    5.50ms ± 6%  -14.21%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoOrig-16           6.10ms ± 2%    5.30ms ± 1%  -13.18%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoOrig-16           6.23ms ± 3%    5.54ms ± 4%  -11.04%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap-16           6.04ms ± 0%    5.38ms ± 2%  -10.90%  (p=0.016 n=4+5)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap-16           6.27ms ± 5%    5.93ms ± 6%   -5.36%  (p=0.032 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap;NoOrig-16    6.11ms ± 3%    5.39ms ± 3%  -11.80%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap;NoOrig-16    6.35ms ± 5%    5.61ms ± 6%  -11.61%  (p=0.008 n=5+5)

name                                                         old muts       new muts       delta
ImmcheckBytes/[16384]byte;muts(0%)-16                            0.00           0.00          ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%)-16                            7.20 ±58%      7.00 ±57%     ~     (p=0.984 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoOrig-16                     0.00           0.00          ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoOrig-16                     5.20 ±54%      5.20 ±35%     ~     (p=0.921 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap-16                     0.00           0.00          ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap-16                    2.28k ± 2%     2.70k ± 2%  +18.38%  (p=0.008 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap;NoOrig-16              0.00           0.00          ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap;NoOrig-16             3.28k ± 3%     4.24k ± 1%  +29.49%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%)-16                    0.00           0.00          ~     (all equal)
ImmcheckTransactions/[8]txs(1024);muts(1%)-16                    2.40 ±67%     1.60 ±150%     ~     (p=0.540 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoOrig-16             0.00           0.00          ~     (all equal)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoOrig-16            1.20 ±100%     1.80 ±122%     ~     (p=0.730 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap-16             0.00           0.00          ~     (all equal)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap-16            1.60 ±150%      2.00 ± 0%     ~     (p=0.238 n=5+4)
