name                                                         old time/op    new time/op    delta
ImmcheckBytes/[16384]byte;muts(0%)-16                          2.07ms ± 1%    2.10ms ± 1%   +1.25%  (p=0.000 n=9+10)
ImmcheckBytes/[16384]byte;muts(1%)-16                          2.11ms ± 1%    2.11ms ± 1%     ~     (p=0.436 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoOrig-16                   2.08ms ± 1%    2.09ms ± 0%   +0.66%  (p=0.028 n=10+9)
ImmcheckBytes/[16384]byte;muts(1%);NoOrig-16                   2.10ms ± 1%    2.10ms ± 1%     ~     (p=0.631 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap-16                   8.98µs ± 1%    8.41µs ± 2%   -6.34%  (p=0.000 n=8+9)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap-16                   9.38µs ± 1%    8.83µs ± 1%   -5.93%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap;NoOrig-16            7.09µs ± 1%    6.57µs ± 1%   -7.35%  (p=0.000 n=9+9)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap;NoOrig-16            7.48µs ± 0%    6.98µs ± 1%   -6.59%  (p=0.000 n=8+9)
ImmcheckTransactions/[8]txs(1024);muts(0%)-16                  11.0ms ± 1%     9.9ms ± 1%  -10.19%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(1%)-16                  11.3ms ± 5%    10.6ms ± 5%   -6.30%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoOrig-16           10.9ms ± 1%     9.9ms ± 1%   -9.04%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoOrig-16           11.4ms ± 7%    10.6ms ± 7%   -7.11%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap-16           10.9ms ± 1%     9.9ms ± 1%   -9.15%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap-16           11.7ms ± 9%    10.5ms ± 5%  -10.38%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap;NoOrig-16    10.9ms ± 1%     9.9ms ± 1%   -9.40%  (p=0.000 n=10+9)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap;NoOrig-16    11.7ms ± 6%    10.4ms ± 1%  -11.28%  (p=0.000 n=10+9)

name                                                         old muts       new muts       delta
ImmcheckBytes/[16384]byte;muts(0%)-16                            0.00           0.00          ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%)-16                            5.90 ±66%      5.70 ±65%     ~     (p=0.922 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoOrig-16                     0.00           0.00          ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoOrig-16                     5.90 ±86%      5.00 ±80%     ~     (p=0.485 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap-16                     0.00           0.00          ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap-16                    1.23k ± 3%     1.31k ± 3%   +6.63%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap;NoOrig-16              0.00           0.00          ~     (all equal)
